District,ZIPCode,Population,TotalPopulation,Weight
7,77084,83216,1009368,0.08244
7,77090,19902,1009368,0.01972
7,77095,71818,1009368,0.07115
7,77338,7025,1009368,0.00696
7,77373,63360,1009368,0.06277
7,77375,56583,1009368,0.05606
7,77377,40210,1009368,0.03984
7,77379,85276,1009368,0.08448
7,77388,51659,1009368,0.05118
7,77389,20034,1009368,0.01985
7,77429,94458,1009368,0.09358
7,77433,74103,1009368,0.07342
7,77447,415,1009368,0.00041
7,77449,94868,1009368,0.09399
8,75002,70808,998133,0.07094
8,75013,48342,998133,0.04843
8,75023,44965,998133,0.04505
8,75024,42972,998133,0.04305
8,75025,54991,998133,0.05509
8,75033,9380,998133,0.00940
8,75034,27779,998133,0.02783
8,75035,79989,998133,0.08014
8,75040,3,998133,0.00000
8,75044,153,998133,0.00015
8,75048,24238,998133,0.02428
8,75069,37500,998133,0.03757
8,75070,115227,998133,0.11544
8,75071,45254,998133,0.04534
8,75074,52979,998133,0.05308
8,75075,36007,998133,0.03607
8,75080,54051,998133,0.05415
8,75081,37628,998133,0.03770
8,75082,27966,998133,0.02802
8,75093,46291,998133,0.04638
8,75094,23136,998133,0.02318
8,75098,22895,998133,0.02294
8,75240,12208,998133,0.01223
8,75243,31570,998133,0.03163
8,75248,235,998133,0.00024
8,75251,44,998133,0.00004
8,75252,25729,998133,0.02578
8,75287,25793,998133,0.02584
9,75050,42837,924657,0.04633
9,75051,38108,924657,0.04121
9,75052,60908,924657,0.06587
9,75060,47156,924657,0.05100
9,75061,54343,924657,0.05877
9,76006,25292,924657,0.02735
9,76010,55174,924657,0.05967
9,76011,21249,924657,0.02298
9,76012,1709,924657,0.00185
9,76013,6303,924657,0.00682
9,76014,23923,924657,0.02587
9,76015,74,924657,0.00008
9,76021,10731,924657,0.01161
9,76022,10892,924657,0.01178
9,76034,274,924657,0.00030
9,76039,38175,924657,0.04129
9,76040,24431,924657,0.02642
9,76051,8817,924657,0.00954
9,76053,30037,924657,0.03248
9,76054,6876,924657,0.00744
9,76092,16116,924657,0.01743
9,76103,2309,924657,0.00250
9,76106,236,924657,0.00026
9,76111,6128,924657,0.00663
9,76112,11196,924657,0.01211
9,76117,34679,924657,0.03750
9,76118,15728,924657,0.01701
9,76120,11515,924657,0.01245
9,76131,24425,924657,0.02642
9,76137,59376,924657,0.06421
9,76148,24514,924657,0.02651
9,76155,5647,924657,0.00611
9,76177,18995,924657,0.02054
9,76180,35988,924657,0.03892
9,76182,31091,924657,0.03362
9,76244,72309,924657,0.07820
9,76248,40006,924657,0.04327
9,76262,7090,924657,0.00767
10,76001,33752,945496,0.03570
10,76002,10186,945496,0.01077
10,76006,4549,945496,0.00481
10,76008,3300,945496,0.00349
10,76010,729,945496,0.00077
10,76011,2041,945496,0.00216
10,76012,25269,945496,0.02673
10,76013,30116,945496,0.03185
10,76015,11338,945496,0.01199
10,76016,31091,945496,0.03288
10,76017,42733,945496,0.04520
10,76021,24651,945496,0.02607
10,76022,3742,945496,0.00396
10,76028,21808,945496,0.02307
10,76034,25622,945496,0.02710
10,76036,31701,945496,0.03353
10,76039,1835,945496,0.00194
10,76040,7913,945496,0.00837
10,76051,118,945496,0.00012
10,76053,1491,945496,0.00158
10,76054,5307,945496,0.00561
10,76060,8776,945496,0.00928
10,76063,71091,945496,0.07519
10,76092,14608,945496,0.01545
10,76102,13364,945496,0.01413
10,76103,13090,945496,0.01384
10,76104,21357,945496,0.02259
10,76105,23252,945496,0.02459
10,76106,35992,945496,0.03807
10,76107,6471,945496,0.00684
10,76108,8660,945496,0.00916
10,76109,25015,945496,0.02646
10,76110,29897,945496,0.03162
10,76111,16316,945496,0.01726
10,76112,31679,945496,0.03351
10,76114,1854,945496,0.00196
10,76115,20692,945496,0.02188
10,76116,8185,945496,0.00866
10,76118,1114,945496,0.00118
10,76119,51285,945496,0.05424
10,76120,7691,945496,0.00813
10,76122,17,945496,0.00002
10,76123,34472,945496,0.03646
10,76126,24179,945496,0.02557
10,76129,2594,945496,0.00274
10,76132,26238,945496,0.02775
10,76133,52229,945496,0.05524
10,76134,26927,945496,0.02848
10,76140,32807,945496,0.03470
10,76164,15689,945496,0.01659
10,76248,663,945496,0.00070
11,77034,4777,933256,0.00512
11,77058,18041,933256,0.01933
11,77059,18296,933256,0.01960
11,77062,26420,933256,0.02831
11,77089,31283,933256,0.03352
11,77486,21,933256,0.00002
11,77502,11689,933256,0.01252
11,77503,5345,933256,0.00573
11,77504,23267,933256,0.02493
11,77505,21378,933256,0.02291
11,77507,1148,933256,0.00123
11,77510,16996,933256,0.01821
11,77511,50365,933256,0.05397
11,77515,26902,933256,0.02883
11,77517,6021,933256,0.00645
11,77518,9598,933256,0.01028
11,77534,3057,933256,0.00328
11,77536,34537,933256,0.03701
11,77539,47377,933256,0.05077
11,77541,910,933256,0.00098
11,77545,143,933256,0.00015
11,77546,54461,933256,0.05836
11,77550,24207,933256,0.02594
11,77551,22446,933256,0.02405
11,77554,9240,933256,0.00990
11,77563,9810,933256,0.01051
11,77565,7156,933256,0.00767
11,77568,17619,933256,0.01888
11,77571,37008,933256,0.03965
11,77573,95643,933256,0.10248
11,77577,1249,933256,0.00134
11,77578,24518,933256,0.02627
11,77581,48187,933256,0.05163
11,77583,37182,933256,0.03984
11,77584,88449,933256,0.09477
11,77586,23431,933256,0.02511
11,77590,30740,933256,0.03294
11,77591,17506,933256,0.01876
11,77598,26833,933256,0.02875
12,75006,31,1086379,0.00003
12,75007,48822,1086379,0.04494
12,75010,33315,1086379,0.03067
12,75019,1022,1086379,0.00094
12,75022,26879,1086379,0.02474
12,75024,2434,1086379,0.00224
12,75028,46822,1086379,0.04310
12,75033,34883,1086379,0.03211
12,75034,60807,1086379,0.05597
12,75056,64705,1086379,0.05956
12,75057,15935,1086379,0.01467
12,75065,12566,1086379,0.01157
12,75067,68454,1086379,0.06301
12,75068,67298,1086379,0.06195
12,75077,36991,1086379,0.03405
12,75093,3042,1086379,0.00280
12,75261,1,1086379,0.00000
12,75287,28019,1086379,0.02579
12,76020,18368,1086379,0.01691
12,76051,40808,1086379,0.03756
12,76052,26494,1086379,0.02439
12,76071,412,1086379,0.00038
12,76078,880,1086379,0.00081
12,76092,1461,1086379,0.00134
12,76106,206,1086379,0.00019
12,76107,25112,1086379,0.02312
12,76108,33240,1086379,0.03060
12,76109,419,1086379,0.00039
12,76114,24683,1086379,0.02272
12,76116,43451,1086379,0.04000
12,76127,2287,1086379,0.00211
12,76131,23872,1086379,0.02197
12,76135,22223,1086379,0.02046
12,76177,3044,1086379,0.00280
12,76179,68411,1086379,0.06297
12,76201,524,1086379,0.00048
12,76205,10438,1086379,0.00961
12,76207,4031,1086379,0.00371
12,76208,12680,1086379,0.01167
12,76209,2262,1086379,0.00208
12,76210,44619,1086379,0.04107
12,76226,34416,1086379,0.03168
12,76227,23284,1086379,0.02143
12,76234,16,1086379,0.00001
12,76244,4492,1086379,0.00413
12,76247,20236,1086379,0.01863
12,76259,5390,1086379,0.00496
12,76262,36594,1086379,0.03368
13,77002,16632,891837,0.01865
13,77003,5118,891837,0.00574
13,77004,41340,891837,0.04635
13,77005,6593,891837,0.00739
13,77009,478,891837,0.00054
13,77010,883,891837,0.00099
13,77016,28235,891837,0.03166
13,77019,23,891837,0.00003
13,77020,10932,891837,0.01226
13,77021,28823,891837,0.03232
13,77023,433,891837,0.00049
13,77025,3344,891837,0.00375
13,77026,20406,891837,0.02288
13,77028,18652,891837,0.02091
13,77030,5854,891837,0.00656
13,77031,16190,891837,0.01815
13,77033,28168,891837,0.03158
13,77035,26490,891837,0.02970
13,77036,78377,891837,0.08788
13,77042,22602,891837,0.02534
13,77045,33093,891837,0.03711
13,77047,32102,891837,0.03600
13,77048,20522,891837,0.02301
13,77050,2113,891837,0.00237
13,77051,16677,891837,0.01870
13,77053,30852,891837,0.03459
13,77054,23890,891837,0.02679
13,77057,9403,891837,0.01054
13,77063,4738,891837,0.00531
13,77071,26379,891837,0.02958
13,77072,53681,891837,0.06019
13,77074,38681,891837,0.04337
13,77078,6843,891837,0.00767
13,77081,42545,891837,0.04770
13,77082,16810,891837,0.01885
13,77085,18046,891837,0.02023
13,77096,10247,891837,0.01149
13,77099,31173,891837,0.03495
13,77401,48,891837,0.00005
13,77459,14771,891837,0.01656
13,77477,28959,891837,0.03247
13,77489,37143,891837,0.04165
13,77545,27654,891837,0.03101
13,77583,2416,891837,0.00271
13,77584,3478,891837,0.00390
14,78602,33761,1044307,0.03233
14,78612,13563,1044307,0.01299
14,78613,9393,1044307,0.00899
14,78615,960,1044307,0.00092
14,78616,4097,1044307,0.00392
14,78617,11115,1044307,0.01064
14,78621,25726,1044307,0.02463
14,78634,582,1044307,0.00056
14,78641,17129,1044307,0.01640
14,78645,13399,1044307,0.01283
14,78650,1721,1044307,0.00165
14,78653,38865,1044307,0.03722
14,78654,1241,1044307,0.00119
14,78659,3287,1044307,0.00315
14,78660,111952,1044307,0.10720
14,78662,2526,1044307,0.00242
14,78664,7781,1044307,0.00745
14,78701,11998,1044307,0.01149
14,78702,25238,1044307,0.02417
14,78703,20472,1044307,0.01960
14,78704,47687,1044307,0.04566
14,78705,30263,1044307,0.02898
14,78712,6028,1044307,0.00577
14,78719,3,1044307,0.00000
14,78721,11367,1044307,0.01088
14,78722,7187,1044307,0.00688
14,78723,34517,1044307,0.03305
14,78724,28375,1044307,0.02717
14,78725,11996,1044307,0.01149
14,78726,15778,1044307,0.01511
14,78727,30812,1044307,0.02950
14,78728,22629,1044307,0.02167
14,78729,1421,1044307,0.00136
14,78730,8819,1044307,0.00844
14,78731,28016,1044307,0.02683
14,78732,18975,1044307,0.01817
14,78733,9404,1044307,0.00901
14,78735,7143,1044307,0.00684
14,78741,3605,1044307,0.00345
14,78742,291,1044307,0.00028
14,78744,4061,1044307,0.00389
14,78745,27710,1044307,0.02653
14,78746,31252,1044307,0.02993
14,78748,17574,1044307,0.01683
14,78749,20404,1044307,0.01954
14,78750,16912,1044307,0.01619
14,78751,17114,1044307,0.01639
14,78752,16887,1044307,0.01617
14,78753,53340,1044307,0.05108
14,78754,21607,1044307,0.02069
14,78756,9370,1044307,0.00897
14,78757,25900,1044307,0.02480
14,78758,51875,1044307,0.04967
14,78759,39808,1044307,0.03812
14,78941,108,1044307,0.00010
14,78942,77,1044307,0.00007
14,78953,887,1044307,0.00085
14,78957,10189,1044307,0.00976
14,78959,110,1044307,0.00011
15,77002,3656,943568,0.00387
15,77005,649,943568,0.00069
15,77006,22987,943568,0.02436
15,77007,36557,943568,0.03874
15,77008,36903,943568,0.03911
15,77009,6390,943568,0.00677
15,77013,8643,943568,0.00916
15,77014,36415,943568,0.03859
15,77015,21585,943568,0.02288
15,77018,27550,943568,0.02920
15,77019,18624,943568,0.01974
15,77022,8645,943568,0.00916
15,77024,570,943568,0.00060
15,77029,8178,943568,0.00867
15,77032,10135,943568,0.01074
15,77038,15503,943568,0.01643
15,77040,45650,943568,0.04838
15,77041,10585,943568,0.01122
15,77043,12480,943568,0.01323
15,77044,26176,943568,0.02774
15,77049,30637,943568,0.03247
15,77055,34938,943568,0.03703
15,77060,4512,943568,0.00478
15,77064,18914,943568,0.02005
15,77066,36355,943568,0.03853
15,77067,16458,943568,0.01744
15,77070,450,943568,0.00048
15,77073,37917,943568,0.04018
15,77080,46757,943568,0.04955
15,77086,29279,943568,0.03103
15,77088,52098,943568,0.05521
