"year","zip5","denom","cases"
2021,"77630",15086,13
2021,"76449",1483,5
2017,"97232",1,0
2022,"77650",427,1
2018,"77989",38,0
2019,"75222",382,0
2022,"76684",8,0
2017,"77497",419,0
2018,"75799",1,0
2017,"76203",31,0
2016,"73573",1,0
2021,"35115",1,0
2021,"79516",1,0
2016,"39404",1,0
2021,"78597",1305,0
2016,"71802",98,0
2019,"67220",2,0
2020,"78024",906,3
2017,"75604",15660,42
2018,"77481",89,0
2016,"90063",1,0
2020,"75862",6871,4
2021,"77979",8417,13
2016,"76485",96,0
2022,"78644",5489,3
2019,"76883",2,0
2019,"75417",1445,1
2017,"44223",1,0
2020,"77508",274,0
2022,"75643",547,0
2019,"30101",1,0
2022,"76635",443,0
2018,"77457",326,1
2020,"94070",1,0
2020,"85042",1,0
2022,"78160",900,0
2019,"78296",28,0
2019,"77655",160,0
2020,"73439",2,0
2020,"78026",3947,5
2016,"77086",13863,9
2021,"76853",995,2
2019,"90814",1,0
2016,"77984",2029,1
2021,"75691",2401,6
2021,"36093",1,0
2016,"75779",182,1
2022,"78121",1878,1
2021,"79221",1,0
2016,"73933",8,0
2021,"35754",2,0
2018,"56466",2,0
2018,"60107",6,0
2020,"75200",1,0
2019,"75217",49495,41
2016,"28734",1,0
2018,"75758",5653,19
2022,"75961",4573,3
2016,"60134",1,0
2021,"77284",381,1
2020,"65721",1,0
2022,"76246",12,0
2019,"93420",1,0
2021,"94925",1,0
2019,"33076",1,0
2017,"75663",888,1
2016,"38342",1,0
2021,"98502",1,0
2019,"79835",7266,3
2018,"78756",2553,3
2021,"76116",27724,41
2021,"41008",1,0
2018,"78415",27284,20
2019,"76511",1438,2
2017,"78582",24396,5
2022,"76901",7135,8
2022,"75206",2358,0
2021,"95015",1,0
2017,"75494",6293,24
2021,"45417",1,0
2017,"33178",1,0
2021,"93454",1,0
2021,"87109",5,0
2020,"76550",7006,7
2021,"79931",119,0
2017,"76903",19105,56
2018,"75615",6,0
2016,"75224",19864,26
2022,"76538",175,0
2020,"80304",1,0
2018,"75861",770,0
2018,"77461",5112,3
2021,"33813",1,0
2021,"75490",1401,2
2016,"64086",1,0
2017,"36311",1,0
2018,"78672",623,3
2017,"75026",318,1
2018,"93420",1,0
2021,"77365",19261,11
2019,"79001",114,0
2016,"67204",1,0
2016,"76702",853,1
2016,"77502",19260,15
2018,"77853",518,1
2019,"67880",1,0
2017,"76671",1289,1
2018,"36117",1,0
2021,"78335",981,0
2018,"76371",843,1
2022,"78667",212,1
2021,"78783",2,0
2017,"78568",345,0
2016,"75932",843,2
2018,"79923",235,0
2022,"76301",6538,15
2017,"79043",694,0
2021,"78578",6382,4
2020,"79908",107,2
2016,"79996",467,0
2022,"77284",212,0
2020,"96826",2,0
2016,"76208",10756,32
2021,"76834",3575,17
2021,"79256",135,0
2021,"78393",1373,0
2018,"78618",141,0
2018,"91423",1,0
2022,"77376",109,0
2020,"94062",1,0
2019,"94566",4,0
2017,"78229",14597,25
2016,"12533",1,0
2019,"32043",1,0
2016,"77555",17,0
2018,"75933",1006,0
2019,"80021",1,0
2021,"77455",961,1
2017,"73459",1,0
2021,"76192",1,0
2016,"80126",2,0
2019,"75093",16998,50
2022,"77226",140,1
2019,"78465",482,0
2016,"70072",2,0
2017,"77445",7017,7
2017,"79105",462,1
2018,"79505",105,1
2021,"75415",103,0
2017,"75977",398,2
2019,"75965",6601,16
2019,"97221",1,0
2019,"93926",1,0
2019,"77338",19841,23
2020,"22602",1,0
2021,"73160",3,0
2016,"78598",204,1
2018,"91359",1,0
2020,"78563",240,0
2017,"74403",1,0
2016,"77455",820,0
2020,"78402",277,0
2019,"79331",6579,10
2021,"76519",265,0
2016,"77625",4016,9
2022,"78107",105,0
2018,"77236",130,0
2022,"75013",2497,3
2016,"44017",1,0
2016,"85704",1,0
2019,"12801",1,1
2018,"92675",1,0
2021,"71269",3,0
2018,"33756",1,0
2019,"94086",1,0
2017,"55413",1,0
2020,"25311",2,0
2020,"71446",1,0
2020,"53132",1,0
2021,"93611",2,0
2019,"79934",8568,11
